,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,3.0,down,SLOW,0.0,5.0,0.0,643.8824250280923,,644.6794053049925,230717_140657,,,,,,,,,,,103,999103,34,M,230717_134344,MS,,-1.736116784635427,-1.7071068886760663,-1.520883243900537,-1.8291603189111143,-1.7957271447823757,-1.7622860293034417
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,645.2900924576497,,,230717_140659,0.0,0.0,0.0,,,"[-0.25, 0.42]",645.2900924576497,,,646.3065416322423,103,999103,34,M,230717_134344,MS,,,-0.11857577708944206,0.025185152544044135,,-1.6584784550513525,-1.6143719263952003
2,PraticeBall,None,Ball,None,3,0.0,0.75,,,3.0,down,SLOW,0.0,5.0,0.0,646.6654709092581,,647.4588167678413,230717_140700,,,,,,,,,,,103,999103,34,M,230717_134344,MS,,0.11363454837228028,0.060226570347627774,0.2393509608380458,-1.5910390702407677,-1.545431698023076,-1.5124498068868093
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,648.0697528005402,,,230717_140701,0.0,0.0,0.0,,,"[-0.25, 0.42]",648.0697528005402,,,649.0863687504134,103,999103,34,M,230717_134344,MS,,,0.1508555065845214,0.32740958154147876,,-1.4110007498819166,-1.368207735381717
4,PraticeBall,None,Ball,None,5,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,649.4442604927281,,650.2386371508619,230717_140703,,,,,,,,,,,103,999103,34,M,230717_134344,MS,,0.3881908797545196,0.428647763542132,0.44564685938789644,-1.3456771975410828,-1.3018181087414535,-1.2702033085760462
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,650.8501196933357,,,230717_140704,0.0,0.0,0.0,,,"[-0.25, 0.42]",650.8501196933357,,,651.8661663621932,103,999103,34,M,230717_134344,MS,,,0.04803566428320963,0.27672307878002633,,-1.1737424840362827,-1.1333119289950437
6,PraticeBall,None,Ball,None,7,0.0,0.75,,,3.0,down,SLOW,0.0,5.0,0.0,652.2224718149738,,653.0183141712805,230717_140706,,,,,,,,,,,103,999103,34,M,230717_134344,MS,,-0.24889680491677318,-0.25923336381915424,-0.21299207261727962,-1.1121133903949292,-1.0709943335704424,-1.0414389379696984
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,653.6289679688816,,,230717_140707,0.0,0.0,0.0,,,"[-0.25, 0.42]",653.6289679688816,,,654.6454399147116,103,999103,34,M,230717_134344,MS,,,0.1352424602857621,0.2959823719013511,,-0.951918843127926,-0.914623479762291
8,PraticeBall,None,Ball,None,9,0.0,0.75,0.6656274214474251,3.0,3.0,up,CORRECT,1.0,5.0,0.2,655.0014669810589,655.6670944025062,655.6962601925334,230717_140708,,,,,,,,,,,103,999103,34,M,230717_134344,MS,,0.37302132557747003,0.33561039920561825,0.42868097995852616,-0.8951494987648867,-0.861162784869054,-0.8377785614227692
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,656.3069127072486,,,230717_140710,0.0,0.0,0.0,,,"[-0.2, 0.42]",656.3069127072486,,,657.3232496292441,103,999103,34,M,230717_134344,MS,,,-0.10818925483931174,-0.008013341529513822,,-0.7563890261609494,-0.7226878309231844
